date,day,Fajr,Shuruk,Thuhr,Asr,Maghrib,Ishaa
01-Sep,Lör,04:14,05:49,12:56,16:40,20:00,21:30
02-Sep,Sön,04:15,05:53,12:56,16:37,19:56,21:26
03-Sep,Mån,04:17,05:55,12:56,16:36,19:53,21:25
04-Sep,Tis,04:19,05:57,12:56,16:33,19:51,21:22
05-Sep,Ons,04:23,05:59,12:56,16:33,19:48,21:18
06-Sep,Tor,04:25,06:00,12:54,16:30,19:45,21:15
07-Sep,Fri,04:27,06:03,12:54,16:29,19:42,21:12
08-Sep,Lör,04:29,06:05,12:54,16:26,19:40,21:10
09-Sep,Sön,04:30,06:08,12:54,16:25,19:37,21:07
10-Sep,Mån,04:33,06:10,12:54,16:22,19:33,21:04
11-Sep,Tis,04:35,06:12,12:54,16:21,19:30,21:02
12-Sep,Ons,04:38,06:15,12:52,16:18,19:27,20:59
13-Sep,Tor,04:40,06:16,12:52,16:17,19:25,20:56
14-Sep,Fri,04:42,06:18,12:52,16:15,19:22,20:52
15-Sep,Lör,04:44,06:20,12:52,16:14,19:18,20:49
16-Sep,Sön,04:46,06:23,12:52,16:11,19:15,20:47
17-Sep,Mån,04:48,06:26,12:52,16:08,19:14,20:45
18-Sep,Tis,04:50,06:28,12:50,16:07,19:11,20:41
19-Sep,Ons,04:53,06:30,12:50,16:04,19:07,20:38
20-Sep,Tor,04:55,06:31,12:50,16:03,19:04,20:36
21-Sep,Fri,04:57,06:33,12:50,16:00,19:02,20:33
22-Sep,Lör,04:59,06:35,12:50,15:58,18:59,20:30
23-Sep,Sön,05:00,06:39,12:48,15:56,18:56,20:27
24-Sep,Mån,05:02,06:41,12:48,15:54,18:52,20:25
25-Sep,Tis,05:04,06:43,12:48,15:52,18:49,20:22
26-Sep,Ons,05:06,06:45,12:48,15:50,18:47,20:18
27-Sep,Tor,05:09,06:46,12:48,15:48,18:44,20:15
28-Sep,Fri,05:11,06:49,12:46,15:46,18:41,20:14
29-Sep,Lör,05:14,06:51,12:46,15:43,18:37,20:11
30-Sep,Sön,05:15,06:54,12:46,15:41,18:36,20:07